id_user;id_session;event_type;id_game;send_time;item_name;position_x;position_y
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;StartSession;-1040572292;1719137684;;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;StartGame;-1040572292;1719137686;;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;GetItem;-1040572292;1719137695;TotemAnkylo;19,02131;0,7413223
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;UseItem;-1040572292;1719137702;Lanza;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;GetItem;-1040572292;1719137702;Lanza;49,47482;-4,191659
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;UseItem;-1040572292;1719137703;Lanza;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;GetItem;-1040572292;1719137703;Lanza;52,47488;-2,87166
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;UseItem;-1040572292;1719137704;Lanza;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;GetItem;-1040572292;1719137711;TotemTrice;56,17755;31,27151
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;GetItem;-1040572292;1719137729;PlantaVerde;21,5;31,42
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;UseItem;-1040572292;1719137731;PlantaVerde;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;GetItem;-1040572292;1719137735;PlantaVerde;-3,677574;32,04829
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;UseItem;-1040572292;1719137736;PlantaVerde;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;EndGame;-1040572292;1719137749;;;
cc2774f1180903344b63974623b2aed5;87981f43-9394-4d99-a80e-4cbd777c3116;EndSession;-1040572292;1719137752;;;
